variable_id,country,panel,gold_share_of_reserves,holdings_tonnes,holdings_as_of,unit,source_file,source_publication_date,download_date,ingested_at,validation_status,availability_status,parser_version
L5-002,Lithuania,right,0.1046358658422223,5.816304314018226,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874102+00:00,PASS,AVAILABLE,1.1.0
L5-002,Colombia,right,0.0091483465500735,4.675024664862679,2026-01-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874359+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Bahrain, Kingdom of",right,0.0917766682696271,4.665484743864887,2026-03-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874468+00:00,PASS,AVAILABLE,1.1.0
L5-002,Brunei Darussalam,right,0.1154506243794706,4.546024174135734,2026-02-28 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874541+00:00,PASS,AVAILABLE,1.1.0
L5-002,Zimbabwe,right,0.4292761077201532,4.435281412366366,2026-03-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874602+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Slovenia, Rep. of",right,0.1551170522416662,4.230039501104165,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874658+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Mozambique, Rep. of",right,0.1215658427328498,3.936884841218003,2025-07-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874711+00:00,PASS,AVAILABLE,1.1.0
L5-002,Albania,right,0.0563759738741192,3.73238779509191,2026-02-28 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874766+00:00,PASS,AVAILABLE,1.1.0
L5-002,Bosnia and Herzegovina,right,0.0477847689330901,3.483561942085783,Mar 2025,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874820+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Aruba, Kingdom of the Netherlands",right,0.1529053526672015,3.110323162576592,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874873+00:00,PASS,AVAILABLE,1.1.0
L5-002,Luxembourg,right,0.0954837456701422,2.239432677055146,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.874924+00:00,PASS,AVAILABLE,1.1.0
